Gene,baseMean,log2_FoldChange,FC,lfcSE,stat,pvalue,padj,minus_log10_pvalue
Acadsb,974.6466028,0.529605223,1.443534134,0.14644793,3.616338046,0.0002988,0.010305374,3.524619407
Acadvl,7130.235441,0.23687678,1.178438753,0.128893663,1.837769011,0.06609645,0.375007144,1.179821866
Acat1,5078.477269,0.430590808,1.347785404,0.159948091,2.692065935,0.00710109,0.096503744,2.148674983
Ace,115.807355,-1.084295872,0.471622394,0.231282747,-4.688183131,2.76E-06,0.000270574,5.559090918
Acly,1207.951683,0.26492996,1.201577714,0.16650607,1.591112921,0.111584165,0.482892739,0.952397432
Acmsd,180.5949021,0.503288164,1.417440488,0.245456186,2.050419559,0.040323506,0.285656033,1.394441714
Aco1,2530.863798,0.350013471,1.274572528,0.151307694,2.313256265,0.020708554,0.190142133,1.683850225
Aco2,4712.851179,0.306229899,1.236472282,0.153060288,2.000714245,0.045423193,0.304746536,1.342722341
Acot1,4099.049782,0.59092191,1.506208937,0.215177216,2.74621041,0.006028808,0.085672188,2.219768547
Acot11,121.4516984,0.583315028,1.498288066,0.243753398,2.39305393,0.016708785,0.167071415,1.777055129
Acot12,2585.273222,0.615900708,1.532514483,0.143674557,4.286776443,1.81E-05,0.001230517,4.742321425
Acot3,1202.034082,0.544301197,1.458313805,0.248931265,2.186552167,0.028775232,0.234483232,1.540981166
Acot8,346.1781322,0.488102212,1.402598618,0.191475007,2.549169309,0.010797986,0.12631452,1.96665724
Acox1,42918.77118,0.804806343,1.746911283,0.176958075,4.548005746,5.42E-06,0.000440187,5.266000713
Acp5,2642.475575,-0.317251883,0.80259725,0.153227789,-2.070459182,0.038409365,0.276916329,1.415562873
Acpp,85.14999351,1.037782521,2.053069578,0.241913627,4.289888651,1.79E-05,0.001219888,4.747146969
Acsf2,2144.793779,0.435236965,1.352132905,0.143733942,3.028073659,0.002461181,0.04780385,2.608856446
Acsf3,604.8185165,0.433203453,1.350228385,0.156901631,2.760987569,0.005762687,0.083093388,2.239374968
Acsl1,21897.45534,0.684347415,1.606974922,0.164842197,4.151530534,3.30E-05,0.001933228,4.48148606
Acsl3,183.9834755,0.399651647,1.319189341,0.219322051,1.822213707,0.068422566,0.381362331,1.164800643
Acsl5,4025.98675,0.347490996,1.272345953,0.181092569,1.918858388,0.055002258,0.335918299,1.259619481
Acsm3,1425.498115,0.416459083,1.334647803,0.17046965,2.443010133,0.014565328,0.1534832,1.836679731
Acss1,28.52091868,-0.759584799,0.590666297,0.279569636,-2.716978886,0.006588081,0.091580068,2.18124107
Acss2,534.9476839,0.402678919,1.321960361,0.189231733,2.127967191,0.033339804,0.257101503,1.477036958
Acss3,223.7891955,1.432036965,2.698274204,0.191982854,7.459191992,8.71E-14,1.11E-10,13.05998184
Actb,10415.39612,-0.379359819,0.768778653,0.13690257,-2.771020438,0.005588092,0.081462962,2.252736452
Actg1,1277.426606,0.3311011,1.257973124,0.147397404,2.246315672,0.024683795,0.213263313,1.607588069
